compte_id,client_id,agence_id,numero_compte,rib,type_compte,devise,solde,solde_disponible,solde_moyen_30j,solde_moyen_90j,decouvert_autorise,taux_interet,frais_tenue_compte,date_ouverture,date_fermeture,statut_compte,plafond_retrait_jour,plafond_paiement_jour,nombre_cotitulaires,carte_associee,chequier,date_derniere_operation,nombre_transactions_30j,volume_transactions_30j,niveau_risque,indicateur_fraude,date_creation,date_derniere_maj
CPT-000001,CLI-000001,AG-CAS-04,1699052536,230985000000000100791954,Compte courant,MAD,1010.95,1010.95,1010.95,1010.95,228.4,0.0,35.58,2022-06-05,,Actif,5000,10000,1,True,True,,0,0,Faible,False,2026-09-11 14:41:42.510765,2026-09-11 14:41:42.510765
CPT-000002,CLI-000001,AG-CAS-04,4493779154,230985000000000101583853,Compte courant,MAD,11020.07,11020.07,11020.07,11020.07,2790.18,0.0,32.44,2020-05-25,,Actif,5000,50000,2,False,False,,0,0,Élevé,False,2026-09-11 14:41:42.510765,2026-09-11 14:41:42.510765
CPT-000003,CLI-000002,AG-NAD-01,7410708446,230500000000000102375735,Compte entreprise,MAD,1804.41,1804.41,1804.41,1804.41,533.77,0.0,19.74,2017-10-15,,Actif,20000,10000,1,False,False,,0,0,Élevé,False,2026-09-11 14:41:42.511766,2026-09-11 14:41:42.511766
CPT-000004,CLI-000002,AG-NAD-01,3706023624,230500000000000103167634,Compte professionnel,MAD,20592.18,20592.18,20592.18,20592.18,5572.23,0.0,22.6,2021-09-26,,Actif,5000,10000,2,False,False,,0,0,Moyen,False,2026-09-11 14:41:42.512762,2026-09-11 14:41:42.512762
CPT-000005,CLI-000003,AG-AGA-01,2344958697,230584000000000103959554,Compte entreprise,MAD,55865.25,55865.25,55865.25,55865.25,11846.85,0.0,45.9,2022-11-15,,Actif,5000,20000,2,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.512762,2026-09-11 14:41:42.512762
CPT-000006,CLI-000003,AG-AGA-01,8354303661,230584000000000104751444,Compte épargne,MAD,8743.38,8743.38,8743.38,8743.38,1906.74,0.0145,15.73,2026-07-26,,Actif,20000,50000,1,False,True,,0,0,Faible,False,2026-09-11 14:41:42.513759,2026-09-11 14:41:42.513759
CPT-000007,CLI-000004,AG-TAN-01,1189673488,230609000000000105543341,Compte courant,MAD,872.93,872.93,872.93,872.93,187.04,0.0,31.93,2022-12-15,,Actif,10000,50000,1,False,True,,0,0,Faible,False,2026-09-11 14:41:42.513759,2026-09-11 14:41:42.513759
CPT-000008,CLI-000004,AG-TAN-01,7903030664,230609000000000106335240,Compte professionnel,MAD,44074.03,44074.03,44074.03,44074.03,5487.22,0.0,19.55,2022-09-25,,Actif,10000,10000,2,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.513759,2026-09-11 14:41:42.513759
CPT-000009,CLI-000005,AG-SET-01,8524425035,230629000000000107127141,Compte courant,MAD,9881.63,9881.63,9881.63,9881.63,1545.16,0.0,35.4,2016-12-14,,Actif,5000,50000,2,False,False,,0,0,Faible,False,2026-09-11 14:41:42.514758,2026-09-11 14:41:42.514758
CPT-000010,CLI-000006,AG-TAN-02,7944994639,230609000000000107919047,Compte courant,MAD,3201.44,3201.44,3201.44,3201.44,771.45,0.0,24.68,2026-03-21,,Actif,20000,10000,1,False,False,,0,0,Élevé,False,2026-09-11 14:41:42.514758,2026-09-11 14:41:42.514758
CPT-000011,CLI-000007,AG-CAS-06,9660709494,230985000000000108710953,Compte courant,MAD,11264.61,11264.61,11264.61,11264.61,1505.02,0.0,21.99,2017-07-23,,Actif,5000,50000,2,False,True,,0,0,Élevé,False,2026-09-11 14:41:42.515757,2026-09-11 14:41:42.515757
CPT-000012,CLI-000007,AG-CAS-06,9371875141,230985000000000109502852,Compte courant,MAD,820.5,820.5,820.5,820.5,112.73,0.0,22.82,2017-07-16,,Actif,20000,10000,1,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.515757,2026-09-11 14:41:42.515757
CPT-000013,CLI-000008,AG-LAÂ-01,2335014483,230959000000000110294752,Compte courant,MAD,16815.83,16815.83,16815.83,16815.83,4056.29,0.0,23.38,2019-02-28,,Actif,5000,50000,0,True,False,,0,0,Moyen,False,2026-09-11 14:41:42.516801,2026-09-11 14:41:42.516801
CPT-000014,CLI-000009,AG-CAS-02,5215006697,230985000000000111086650,Compte courant,MAD,7701.32,7701.32,7701.32,7701.32,1939.39,0.0,49.29,2017-01-02,,Actif,10000,50000,1,True,False,,0,0,Faible,False,2026-09-11 14:41:42.517844,2026-09-11 14:41:42.517844
CPT-000015,CLI-000009,AG-CAS-02,2183670177,230985000000000111878558,Compte professionnel,MAD,182995.45,182995.45,182995.45,182995.45,51538.4,0.0,18.45,2023-12-13,,Actif,10000,10000,0,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.517844,2026-09-11 14:41:42.517844
CPT-000016,CLI-000010,AG-SAL-01,8858807026,230521000000000112670434,Compte courant,MAD,1286.43,1286.43,1286.43,1286.43,209.22,0.0,31.52,2026-08-09,,Actif,5000,20000,1,True,False,,0,0,Élevé,False,2026-09-11 14:41:42.517844,2026-09-11 14:41:42.517844
CPT-000017,CLI-000010,AG-SAL-01,5881077557,230521000000000113462333,Compte courant,MAD,1600.92,1600.92,1600.92,1600.92,358.41,0.0,33.96,2022-08-25,,Actif,20000,10000,1,False,False,,0,0,Élevé,False,2026-09-11 14:41:42.517844,2026-09-11 14:41:42.517844
CPT-000018,CLI-000011,AG-OUJ-01,3770266378,230499000000000114254246,Compte courant,MAD,11516.38,11516.38,11516.38,11516.38,3193.3,0.0,29.89,2021-11-18,,Actif,5000,10000,0,True,True,,0,0,Moyen,False,2026-09-11 14:41:42.518803,2026-09-11 14:41:42.518803
CPT-000019,CLI-000012,AG-TÉT-01,9022967507,230868000000000115046145,Compte courant,MAD,1150.3,1150.3,1150.3,1150.3,266.41,0.0,24.62,2024-09-11,,Actif,20000,50000,0,False,True,,0,0,Moyen,False,2026-09-11 14:41:42.519802,2026-09-11 14:41:42.519802
CPT-000020,CLI-000012,AG-TÉT-01,3015786318,230868000000000115838053,Compte courant,MAD,11348.85,11348.85,11348.85,11348.85,3294.53,0.0,38.16,2020-01-09,,Actif,20000,20000,0,True,False,,0,0,Élevé,False,2026-09-11 14:41:42.519802,2026-09-11 14:41:42.519802
